Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,is_peak_hours,d_s_ratio,demand_class,supply_class,demand_metric,supply_metric,correction_metric,corrected_cost,Calculated_Fare,group,simulated_price,conversion_prob,conversion,cost,net_revenue
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.62262644973293,0,0.8800000000000001,Low_demand,Medium_supply,0.8,0.9090909090909091,0.019999999999999907,295.5901739207383,353.2302578352823,B,353.2302578352823,1.0,1,247.2611804846976,105.96907735058471
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.5870840445325,1,1.0320987654320988,High_demand,Medium_supply,1.1728395061728396,1.1363636363636365,0.0,413.5870840445325,830.999848616477,A,413.5870840445325,1.0,1,289.51095883117273,124.07612521335977
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.11810461931896,0,1.148888888888889,Medium_demand,Medium_supply,0.7833333333333333,0.6818181818181818,0.04888888888888898,286.47054528959677,329.44112708303635,A,273.11810461931896,1.0,1,191.18267323352325,81.93543138579571
25,11,Rural,Silver,33,3.85,Night,Economy,94,247.1745626508575,0,1.25,Low_demand,Medium_supply,0.625,0.5,0.1499999999999999,284.2507470484861,382.31725478021383,A,247.1745626508575,1.0,1,173.02219385560025,74.15236879525725
37,22,Rural,Regular,76,4.72,Afternoon,Economy,69,213.4432507972432,1,0.925,Low_demand,Medium_supply,0.925,1.0,0.0,213.4432507972432,380.6760377968833,A,213.4432507972432,1.0,1,149.41027555807023,64.03297523917297
59,39,Suburban,Gold,49,3.78,Morning,Premium,98,295.79438015283176,1,0.958119658119658,Medium_demand,High_supply,0.9833333333333333,1.0263157894736843,0.0,295.79438015283176,508.0268479124885,A,295.79438015283176,1.0,1,207.05606610698223,88.73831404584953
42,20,Urban,Silver,88,4.64,Night,Premium,29,145.0698091748401,0,0.77,Medium_demand,Medium_supply,0.7,0.9090909090909091,0.13,126.21073398211088,159.5767900923241,A,145.0698091748401,1.0,1,101.54886642238806,43.52094275245203
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264188845,1,1.7666666666666666,Medium_demand,Medium_supply,0.8833333333333333,0.5,0.6666666666666665,495.0310440314741,940.5589836598009,A,297.0186264188845,1.0,1,207.91303849321912,89.10558792566536
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291344428,0,0.7817708333333334,Medium_demand,High_supply,1.3166666666666667,1.6842105263157894,0.11822916666666661,587.865177252402,1022.2975432419271,A,666.6870291344428,2.2699068861881984e-33,0,466.68092039410993,0.0
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339145253,0,0.9405797101449275,Medium_demand,Medium_supply,0.9833333333333333,1.0454545454545454,0.0,449.5456339145253,539.4547606974304,B,539.4547606974304,9.64139567373931e-06,0,377.61833248820125,0.0
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.9860100296204,1,0.5057471264367817,Medium_demand,Medium_supply,0.6666666666666666,1.3181818181818181,0.39425287356321836,378.5834796386321,770.4173810646164,B,770.4173810646164,6.780290754164745e-56,0,539.2921667452314,0.0
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520851587072,1,1.2033333333333334,Medium_demand,High_supply,1.2666666666666666,1.0526315789473684,0.10333333333333328,105.95884672917735,156.87207258254705,A,96.03520851587072,1.0,1,67.2246459611095,28.81056255476122
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593915947267,0,0.5782051282051281,Medium_demand,Medium_supply,0.6833333333333333,1.1818181818181819,0.3217948717948719,432.5316899405261,709.3519715024629,B,709.3519715024629,1.2343363587184583e-42,0,496.546380051724,0.0
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.5887110300315,0,1.6102292768959439,High_demand,Medium_supply,1.0246913580246915,0.6363636363636364,0.5102292768959438,446.40672531748856,508.9036668619369,B,508.9036668619369,0.9764802005691249,1,356.23256680335584,152.6711000585811
44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.33854512223814,0,0.9490196078431372,Medium_demand,Medium_supply,0.7333333333333333,0.7727272727272727,0.0,353.33854512223814,494.67396317113344,B,494.67396317113344,0.9999804196354933,1,346.2717742197934,148.40218895134007
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429041832141,0,0.5848131236259091,High_demand,High_supply,1.123456790123457,1.9210526315789473,0.31518687637409093,42.63255508048519,68.47971946015356,B,68.47971946015356,1.0,1,47.93580362210749,20.54391583804607
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899337195,1,1.2375,Medium_demand,Medium_supply,0.9,0.7272727272727273,0.13749999999999996,302.65302104960597,522.0764613105703,A,266.0685899337195,1.0,1,186.24801295360365,79.82057698011587
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671016029,0,0.5846846846846846,Medium_demand,Medium_supply,0.9833333333333333,1.6818181818181819,0.3153153153153154,232.88061531280914,374.1410938117632,B,374.1410938117632,1.0,1,261.8987656682342,112.242328143529
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.258155352454,1,1.0604651162790697,Medium_demand,High_supply,1.2,1.131578947368421,0.0,443.258155352454,849.9475128883306,A,443.258155352454,0.9999999999999998,1,310.2807087467178,132.97744660573625
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.05527443495566,0,0.9574074074074074,Medium_demand,Low_supply,0.7833333333333333,0.8181818181818182,0.0,265.05527443495566,341.92130402109285,B,341.92130402109285,1.0,1,239.34491281476497,102.57639120632788
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.4343854791753,0,0.8,Low_demand,Medium_supply,0.8,1.0,0.09999999999999998,199.29094693125776,238.15268158285303,B,238.15268158285303,1.0,1,166.70687710799712,71.44580447485592
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288248255,0,1.2692307692307692,Medium_demand,Medium_supply,0.75,0.5909090909090909,0.16923076923076907,459.77758447210357,684.6088232789623,B,684.6088232789623,2.912996018196188e-37,0,479.22617629527355,0.0
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.58040412487964,0,1.0133333333333334,Medium_demand,High_supply,1.2,1.1842105263157894,0.0,151.58040412487964,166.7384445373676,A,151.58040412487964,1.0,1,106.10628288741574,45.47412123746389
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046053331,0,1.368888888888889,Medium_demand,Medium_supply,0.9333333333333333,0.6818181818181818,0.26888888888888896,398.4247725103227,438.267249761355,B,438.267249761355,1.0,1,306.78707483294846,131.48017492840654
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515260551269,1,0.7,Medium_demand,Medium_supply,0.7,1.0,0.20000000000000007,292.9212208441015,527.5511187402269,A,366.1515260551269,1.0,1,256.3060682385888,109.8454578165381
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.97356882411634,1,1.361904761904762,Medium_demand,Medium_supply,0.8666666666666667,0.6363636363636364,0.26190476190476186,537.5380749447182,957.0865424390707,B,957.0865424390707,1.9794974862315928e-96,0,669.9605797073494,0.0
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.0531279855558,0,1.291304347826087,Medium_demand,Medium_supply,1.35,1.0454545454545454,0.19130434782608696,427.7415524697491,620.2252510811362,A,359.0531279855558,1.0,1,251.33718958988905,107.71593839566677
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.34417984860374,1,1.1293333333333333,Medium_demand,Medium_supply,1.2833333333333334,1.1363636363636365,0.02933333333333321,267.9809424574961,464.5449637500695,B,464.5449637500695,0.9999999999943843,1,325.1814746250486,139.36348912502086
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.30170917475425,0,1.2375000000000003,Low_demand,Low_supply,0.675,0.5454545454545454,0.13750000000000018,364.34319418628303,418.99467331422545,A,320.30170917475425,1.0,1,224.21119642232796,96.09051275242629
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.49212153190336,1,0.7980392156862746,Medium_demand,Medium_supply,1.2333333333333334,1.5454545454545454,0.10196078431372546,408.15174835610145,897.9338463834233,A,454.49212153190336,0.9999999999999631,1,318.1444850723323,136.34763645957105
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.11502370436019,1,0.625514403292181,High_demand,High_supply,1.1358024691358024,1.8157894736842106,0.274485596707819,32.731599502381485,46.15155529835789,B,46.15155529835789,1.0,1,32.306088708850524,13.845466589507367
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621142931812,0,0.8303921568627451,Medium_demand,Medium_supply,1.2833333333333334,1.5454545454545454,0.06960784313725488,208.09347692571467,246.02832572249932,A,223.6621142931812,1.0,1,156.56348000522684,67.09863428795435
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577542620492,0,2.016666666666667,Medium_demand,Low_supply,1.1,0.5454545454545454,0.916666666666667,331.88569566892767,381.66855001926683,B,381.66855001926683,1.0,1,267.16798501348677,114.50056500578006
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.240499627505,1,1.2504273504273504,Medium_demand,High_supply,1.2833333333333334,1.0263157894736843,0.15042735042735034,681.3296688022407,1464.8587879248175,B,1464.8587879248175,1.084458196420876e-206,0,1025.4011515473721,0.0
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104185831,1,1.203125,Low_demand,Medium_supply,0.875,0.7272727272727273,0.10312499999999991,418.4239283679994,795.0054638991988,B,795.0054638991988,3.1046594542699527e-61,0,556.5038247294392,0.0
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.7111703191874,0,0.4631578947368421,Medium_demand,Medium_supply,0.8,1.7272727272727273,0.4368421052631579,203.13734328501604,396.78228735110616,B,396.78228735110616,1.0,1,277.7476011457743,119.03468620533187
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.49261837786293,0,1.2425925925925925,Medium_demand,Medium_supply,1.0166666666666666,0.8181818181818182,0.14259259259259238,232.5091584058174,250.877381919877,B,250.877381919877,1.0,1,175.6141673439139,75.2632145759631
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451307734787,1,1.2396825396825397,Medium_demand,Medium_supply,1.1833333333333333,0.9545454545454546,0.13968253968253963,630.8657204688218,1217.8862733650603,B,1217.8862733650603,4.6196911644072985e-153,0,852.5203913555422,0.0
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.46644254307614,0,1.8430335097001767,High_demand,Low_supply,1.1728395061728396,0.6363636363636364,0.7430335097001766,494.09150822808147,637.3780456142251,B,637.3780456142251,5.252583304045741e-27,0,446.1646319299576,0.0
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.14534513079855,1,1.0939393939393938,Medium_demand,High_supply,1.2666666666666666,1.1578947368421053,0.0,435.14534513079855,769.1193975186864,B,769.1193975186864,1.297483559534816e-55,0,538.3835782630804,0.0
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681264991488,1,1.353846153846154,Low_demand,Medium_supply,0.8,0.5909090909090909,0.25384615384615383,859.8477278412404,1870.1688080546978,B,1870.1688080546978,1.0550188379759666e-294,0,1309.1181656382885,0.0
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608868741742,0,0.5988888888888889,Medium_demand,Medium_supply,0.8166666666666667,1.3636363636363635,0.3011111111111111,440.9016642709506,720.4333194187334,B,720.4333194187334,4.843389498021819e-45,0,504.30332359311336,0.0
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568747653598,1,1.2294117647058824,Low_demand,Medium_supply,0.95,0.7727272727272727,0.12941176470588234,616.8359997349946,1178.1567594938397,B,1178.1567594938397,1.9577952232618007e-144,0,824.7097316456877,0.0
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.35700254441711,1,0.7139329805996473,High_demand,Medium_supply,1.1358024691358024,1.5909090909090908,0.18606701940035275,93.8928689140185,152.5759119852801,A,115.35700254441711,1.0,1,80.74990178109198,34.607100763325136
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951423794,0,0.5057471264367817,Medium_demand,Medium_supply,0.6666666666666666,1.3181818181818181,0.39425287356321836,244.75206291957926,444.45488465661737,A,404.0498951423794,1.0,1,282.83492659966555,121.21496854271385
55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.03832988580584,1,0.8293650793650793,Medium_demand,High_supply,0.9166666666666666,1.105263157894737,0.07063492063492072,145.01657483831636,224.2318788437467,B,224.2318788437467,1.0,1,156.9623151906227,67.26956365312401
